1,Kevin Durant| OKC SF,POIR,22.11
2,LeBron James| Mia SF| PF,WANG,18.67
3,Stephen Curry| GS PG| SG,MALE,15.66
4,James Harden| Hou SG,NOBL,15.34
5,Kobe Bryant| LAL SG| SF,CHOW,14.03
6,Chris Paul| LAC PG,NOBL,13.2
7,Russell Westbrook| OKC PG,HENR,12.46
8,Serge Ibaka| OKC C| PF,BOGI,11.72
9,Marc Gasol| Mem C,NOBL,11.61
10,Tim Duncan| SA PF| C,POIR,11.41
11,Deron Williams| Bkn PG,BOGI,11.26
12,Paul George| Ind SG| SF,NOBL,11.21
13,Mike Conley Jr.| Mem PG,ZAPA,10.18
14,David Lee| GS PF| C,HENR,10.01
15,Damian Lillard| Por PG,CHOW,9.99
16,Nicolas Batum| Por SF| SG,ZAPA,9.93
17,Jeff Teague| Atl PG,NOBL,9.66
18,Kemba Walker| Cha PG| SG,CHOW,9.6
19,Carmelo Anthony| NY SF| PF,WANG,9.47
20,LaMarcus Aldridge| Por PF| C,WANG,9.44
21,Monta Ellis| Mil PG| SG,POIR,9.37
22,Dwyane Wade| Mia SG,WEBS,9.36
23,Al Horford| Atl C| PF,WANG,9.17
24,Chris Bosh| Mia PF| C,HENR,9.15
25,Al Jefferson| Uta C| PF,WEBS,9.02
26,Paul Pierce| Bos SF| SG,WEBS,8.89
27,Jrue Holiday| Phi PG,WANG,8.85
28,Brook Lopez| Bkn C,ZAPA,8.65
29,Joakim Noah| Chi C| PF,WANG,8.56
30,Brandon Jennings| Mil PG,CHOW,8.53
31,Blake Griffin| LAC PF,POIR,8.37
32,Tony Parker| SA PG,HENR,8.31
33,O.J. Mayo| Dal SG,WEBS,8.15
34,Jeremy Lin| Hou PG,WEBS,8.12
35,Kyrie Irving| Cle PG,MALE,7.92
36,Chandler Parsons| Hou SF,BOGI,7.85
37,Klay Thompson| GS SG| SF,FA,7.76
38,Goran Dragic| Pho PG,NOBL,7.75
39,Amir Johnson| Tor PF| C,CHOW,7.71
40,Nikola Vucevic| Orl PF| C,CHOW,7.7
41,Greg Monroe| Det C| PF,BOGI,7.51
42,David West| Ind PF,WEBS,7.48
43,Paul Millsap| Uta PF| SF,ZAPA,7.47
44,Roy Hibbert| Ind C,BOGI,7.23
45,Darren Collison| Dal PG,ZAPA,7.19
46,DeMarcus Cousins| Sac PF| C,ZAPA,7.12
47,Larry Sanders| Mil PF| C,FA,7.1
48,Jose Calderon| Det PG,FA,7.08
49,Greivis Vasquez| Nor PG,FA,7.06
50,Rudy Gay| Tor SF,MALE,6.97
51,Ty Lawson| Den PG| SG,ZAPA,6.94
52,George Hill| Ind PG| SG,HENR,6.89
53,Ryan Anderson| Nor PF,CHOW,6.77
54,Vince Carter| Dal SG| SF,NOBL,6.72
55,Josh Smith| Atl PF| SF,CHOW,6.7
56,J.R. Smith| NY SG| SF,POIR,6.68
57,Danny Green| SA SG| SF,FA,6.5
58,Thaddeus Young| Phi SF| PF,MALE,6.44
59,Robin Lopez| Nor C,FA,6.28
60,Anthony Davis| Nor PF| C,FA,6.24
61,Kyle Korver| Atl SG| SF,WEBS,6.23
62,Kevin Garnett| Bos PF| C,NOBL,6.14
63,Andre Iguodala| Den SF| SG,HENR,6.12
64,J.J. Hickson| Por PF| C,WANG,6.03
65,Dwight Howard| LAL C,MALE,5.99
66,Jamal Crawford| LAC SG| PG,ZAPA,5.96
67,Isaiah Thomas| Sac PG,NOBL,5.92
68,Luol Deng| Chi SF,WANG,5.77
69,Kevin Martin| OKC SG,WEBS,5.75
70,Jarrett Jack| GS PG| SG,CHOW,5.75
71,Danilo Gallinari| Den SF| PF,MALE,5.73
72,Spencer Hawes| Phi C| PF,FA,5.72
73,Shawn Marion| Dal SF| PF,POIR,5.67
74,DeMar DeRozan| Tor SG| SF,WEBS,5.64
75,Kenneth Faried| Den PF,HENR,5.59
76,J.J. Redick| Mil SG,FA,5.59
77,Nate Robinson| Chi PG| SG,ZAPA,5.56
78,Carlos Boozer| Chi PF,HENR,5.56
79,Kyle Lowry| Tor PG,FA,5.56
80,Andrei Kirilenko| Min SF| PF,FA,5.52
81,Ersan Ilyasova| Mil SF| PF,ZAPA,5.45
82,Thabo Sefolosha| OKC SG| SF,FA,5.36
83,Matt Barnes| LAC SF,NOBL,5.35
84,Jeff Green| Bos SF| PF,POIR,5.33
85,Tiago Splitter| SA PF| C,FA,5.27
86,Tyson Chandler| NY C,WEBS,5.25
87,Andre Miller| Den PG,POIR,5.22
88,Wesley Matthews| Por SG| SF,MALE,5.22
89,Tyreke Evans| Sac PG| SG| SF,WEBS,4.88
90,Zach Randolph| Mem PF,WEBS,4.78
91,Luke Ridnour| Min PG| SG,FA,4.74
92,Gordon Hayward| Uta SG| SF,POIR,4.74
93,Metta World Peace| LAL SF| PF,FA,4.72
94,Luis Scola| Pho PF,NOBL,4.72
95,Kawhi Leonard| SA SF| SG,FA,4.66
96,Ray Allen| Mia SG,FA,4.65
97,Mario Chalmers| Mia PG,FA,4.55
98,Raymond Felton| NY PG,WANG,4.47
99,Derrick Favors| Uta PF| C,MALE,4.44
100,Dirk Nowitzki| Dal PF,BOGI,4.37
101,Martell Webster| Wsh SF,FA,4.31
102,Jared Dudley| Pho SF| SG,HENR,4.21
103,Joe Johnson| Bkn SG| SF,BOGI,4.16
104,Jason Kidd| NY PG| SG,FA,4.15
105,Kosta Koufos| Den PF| C,FA,4.15
106,Carl Landry| GS PF,FA,4.1
107,Evan Turner| Phi SG| SF,CHOW,4.09
108,Omer Asik| Hou C,MALE,3.99
109,Nikola Pekovic| Min C,HENR,3.98
110,Eric Bledsoe| LAC PG,FA,3.97
111,JaVale McGee| Den C,ZAPA,3.96
112,Jameer Nelson| Orl PG,BOGI,3.84
113,Gerald Henderson| Cha SG| SF,POIR,3.81
114,John Wall| Wsh PG,MALE,3.7
115,Al-Farouq Aminu| Nor SF,BOGI,3.58
116,Dorell Wright| Phi SF,FA,3.53
117,Mike Dunleavy| Mil SG| SF,FA,3.53
118,Jason Terry| Bos SG,FA,3.48
119,Andray Blatche| Bkn PF| C,FA,3.48
120,Brandon Bass| Bos PF| C,POIR,3.47
121,Marcin Gortat| Pho C,FA,3.44
122,Randy Foye| Uta SG| PG,FA,3.36
123,Tristan Thompson| Cle PF| C,FA,3.33
124,Jason Thompson| Sac PF| C,FA,3.32
125,Alonzo Gee| Cle SF| SG,BOGI,3.26
126,Jimmy Butler| Chi SG| SF,FA,3.2
127,Arron Afflalo| Orl SG| SF,BOGI,3.17
128,Ricky Rubio| Min PG,ZAPA,3.17
129,Steve Nash| LAL PG,WANG,3.17
130,Manu Ginobili| SA SG,POIR,3.09
131,Marcus Thornton| Sac SG,HENR,2.92
132,Patrick Patterson| Sac PF,FA,2.7
133,Courtney Lee| Bos SG,FA,2.68
134,Michael Kidd-Gilchrist| Cha SF,BOGI,2.6
135,Corey Brewer| Den SF,FA,2.55
136,Carlos Delfino| Hou SF| SG,HENR,2.51
137,Jonas Valanciunas| Tor C,CHOW,2.43
138,Brandon Knight| Det PG| SG,FA,2.42
139,Tony Allen| Mem SG,FA,2.38
140,Lance Stephenson| Ind SG,FA,2.27
141,Elton Brand| Dal PF| C,FA,2.16
143,Ed Davis| Mem PF| C,FA,2.1
144,Markieff Morris| Pho PF,FA,2.08
145,Jerryd Bayless| Mem PG| SG,FA,2.04
146,Emeka Okafor| Wsh C,FA,1.97
147,Kyle Singler| Det SF| SG,FA,1.97
148,Rajon Rondo| Bos PG,FA,1.89
149,Nick Collison| OKC PF| C,FA,1.89
150,Shane Battier| Mia SF,FA,1.87
151,Chris Kaman| Dal C,NOBL,1.86
152,Caron Butler| LAC SF,FA,1.76
153,DeAndre Jordan| LAC C,FA,1.75
154,Boris Diaw| SA PF| C,FA,1.71
155,Tayshaun Prince| Mem SF,FA,1.63
156,Pau Gasol| LAL PF| C,HENR,1.62
157,C.J. Miles| Cle SF| SG,FA,1.55
158,Trevor Ariza| Wsh SF| SG,FA,1.49
159,Ramon Sessions| Cha PG| SG,FA,1.45
160,Rodney Stuckey| Det SG| PG,FA,1.43
161,John Salmons| Sac SF| SG,ZAPA,1.42
162,Dante Cunningham| Min PF,FA,1.42
163,Brandan Wright| Dal PF| C,FA,1.41
164,Jose Juan Barea| Min PG| SG,FA,1.38
165,Bradley Beal| Wsh SG,FA,1.33
166,Tyler Zeller| Cle C| PF,FA,1.28
167,Jordan Crawford| Bos SG| PG,NOBL,1.28
168,Mo Williams| Uta PG| SG,BOGI,1.22
169,Moe Harkless| Orl SF,CHOW,1.15
170,Kendrick Perkins| OKC C,FA,1.03
171,Ben Gordon| Cha SG,FA,0.98
172,Shaun Livingston| Cle PG| SG,FA,0.95
173,Derrick Williams| Min PF,FA,0.95
174,P.J. Tucker| Pho SG| SF,FA,0.95
175,Bismack Biyombo| Cha C| PF,FA,0.92
176,Harrison Barnes| GS SF,FA,0.92
177,Toney Douglas| Sac PG| SG,FA,0.92
178,Jermaine O'Neal| Pho C,FA,0.91
179,Antawn Jamison| LAL PF,FA,0.85
180,Gerald Wallace| Bkn SF| PF,FA,0.84
181,C.J. Watson| Bkn PG,FA,0.84
182,Taj Gibson| Chi PF| C,FA,0.84
183,Jodie Meeks| LAL SG,FA,0.75
184,Devin Harris| Atl PG| SG,FA,0.72
185,Wayne Ellington| Cle SG,FA,0.71
186,Lamar Odom| LAC PF,FA,0.69
187,Kirk Hinrich| Chi SG| PG,FA,0.68
188,Pablo Prigioni| NY SG,FA,0.61
189,Enes Kanter| Uta C,FA,0.6
190,Will Bynum| Det PG,FA,0.56
191,Andrew Nicholson| Orl PF,FA,0.5
192,Beno Udrih| Orl PG| SG,FA,0.5
193,Andre Drummond| Det PF| C,WANG,0.41
194,Tobias Harris| Orl SF| PF,WANG,0.4
195,Greg Stiemsma| Min C,FA,0.39
196,Dion Waiters| Cle SG,MALE,0.36
197,Alexey Shved| Min SG| PG,FA,0.34
198,Marreese Speights| Cle PF| C,FA,0.26
199,Louis Williams| Atl PG| SG,FA,0.24
200,Kevin Seraphin| Wsh C| PF,FA,0.2
201,E'Twaun Moore| Orl SG| PG,FA,0.18
202,Steve Novak| NY PF| SF,FA,0.14
203,Marco Belinelli| Chi SG,FA,0.14
204,Marvin Williams| Uta SF,FA,0.11
205,Wilson Chandler| Den SF| SG,WANG,0.11
206,Alan Anderson| Tor SF,FA,0.06
207,Josh McRoberts| Cha PF,FA,0.04
208,Jason Maxiell| Det PF| C,FA,0
209,Brian Roberts| Nor PG,FA,-0.01
210,Eric Gordon| Nor SG,WEBS,-0.1
211,Lavoy Allen| Phi PF| C,FA,-0.13
212,Ekpe Udoh| Mil C| PF,FA,-0.19
213,Earl Clark| LAL PF| SF,FA,-0.24
214,Gary Neal| SA PG| SG,FA,-0.36
215,Nick Young| Phi SG,FA,-0.46
216,Shannon Brown| Pho SG,FA,-0.47
217,Meyers Leonard| Por C,FA,-0.51
218,Jamaal Tinsley| Uta PG,FA,-0.56
219,Michael Beasley| Pho SF| PF,FA,-0.57
220,Greg Smith| Hou C,FA,-0.58
221,DeMarre Carroll| Uta SF,FA,-0.62
222,Jason Smith| Nor PF| C,FA,-0.77
223,Samuel Dalembert| Mil C,FA,-0.81
224,Anderson Varejao| Cle C| PF,FA,-0.81
225,Steve Blake| LAL PG,FA,-0.86
226,Reggie Evans| Bkn PF,FA,-0.88
227,Chris Wilcox| Bos PF,FA,-0.98
228,Francisco Garcia| Hou SF| SG,FA,-1.01
229,Udonis Haslem| Mia PF,FA,-1.04
230,Reggie Jackson| OKC PG,FA,-1.09
231,Roger Mason Jr.| Nor SG,FA,-1.16
232,Jimmer Fredette| Sac SG| PG,FA,-1.21
233,A.J. Price| Wsh PG,FA,-1.22
234,Marcus Morris| Pho PF,FA,-1.23
235,Kris Humphries| Bkn PF,FA,-1.25
236,Jeffery Taylor| Cha SG,FA,-1.25
237,Amar'e Stoudemire| NY PF| C,FA,-1.25
238,Willie Green| LAC SG,FA,-1.26
239,Zaza Pachulia*| Atl C,FA,-1.28
240,Avery Bradley| Bos SG| PG,FA,-1.28
241,Byron Mullens| Cha PF| C,FA,-1.3
242,Ivan Johnson| Atl PF,FA,-1.33
243,Jae Crowder| Dal SF| PF,FA,-1.4
244,Chris Copeland| NY SF,FA,-1.49
245,Charlie Villanueva| Det PF| SF,FA,-1.51
246,Aaron Brooks| Hou PG,FA,-1.52
247,Nando de Colo| SA SG| PG,FA,-1.56
248,Patrick Beverley| Hou PG,FA,-1.56
249,Norris Cole| Mia PG,FA,-1.59
250,D.J. Augustin| Ind PG| SG,FA,-1.6
